Emotion,Media_Imagen,Media_Video,Statistical,p_value,Significant(p<0.05),Best_Model
Fear,0.1753086419753086,0.15555555555555553,174.0,0.22859720515277993,No,Images
Inspiration,0.2315315315315315,0.17575757575757572,92.0,0.0038514264969945864,Sí,Images
Joy,0.14712643678160917,0.2222222222222222,62.0,0.00045130592908329537,Sí,Videos
Sadness,0.11481481481481479,0.2246913580246913,23.0,4.090379800243085e-05,Sí,Videos
Tenderness,0.16764705882352937,0.20229885057471264,170.0,0.198538982795193,No,Videos
Overall,0.16718252509891002,0.18583472012590788,137.0,0.049710121005773544,Sí,Videos
