,Positive,Negative,Overall
0,0.4883720930232558,0.47959183673469385,0.4839819648789748
1,0.4418604651162791,0.5102040816326531,0.4760322733744661
2,0.4883720930232558,0.5408163265306123,0.514594209776934
3,0.47674418604651164,0.5408163265306123,0.5087802562885619
4,0.5930232558139535,0.5306122448979592,0.5618177503559564
5,0.6511627906976745,0.5102040816326531,0.5806834361651638
6,0.45348837209302323,0.5510204081632653,0.5022543901281442
7,0.4883720930232558,0.47959183673469385,0.4839819648789748
8,0.5348837209302325,0.4387755102040816,0.4868296155671571
9,0.5930232558139535,0.5714285714285714,0.5822259136212624
10,0.43023255813953487,0.5306122448979592,0.48042240151874704
11,0.6046511627906976,0.5510204081632653,0.5778357854769814
12,0.5232558139534884,0.4897959183673469,0.5065258661604177
13,0.5,0.4489795918367347,0.4744897959183674
14,0.5348837209302325,0.47959183673469385,0.5072377788324631
15,0.4883720930232558,0.5714285714285714,0.5299003322259136
16,0.5348837209302325,0.6122448979591837,0.573564309444708
17,0.47674418604651164,0.6530612244897959,0.5649027052681538
18,0.6627906976744186,0.5306122448979592,0.5967014712861889
19,0.5,0.6020408163265306,0.5510204081632653
20,0.5232558139534884,0.5306122448979592,0.5269340294257239
21,0.5813953488372093,0.5,0.5406976744186047
22,0.46511627906976744,0.6020408163265306,0.533578547698149
23,0.3953488372093023,0.6020408163265306,0.49869482676791643
24,0.5232558139534884,0.4489795918367347,0.4861177028951116
25,0.5,0.5816326530612245,0.5408163265306123
26,0.4883720930232558,0.46938775510204084,0.47887992406264834
27,0.4883720930232558,0.5408163265306123,0.514594209776934
28,0.46511627906976744,0.3673469387755102,0.41623160892263883
29,0.5813953488372093,0.5102040816326531,0.5457997152349312
