,Positive,Negative,Overall
0,0.5116279069767442,0.47474747474747475,0.49318769086210945
1,0.46511627906976744,0.5959595959595959,0.5305379375146817
2,0.47674418604651164,0.43434343434343436,0.45554381019497303
3,0.45348837209302323,0.5151515151515151,0.48431994362226916
4,0.45348837209302323,0.5252525252525253,0.48937044867277424
5,0.5232558139534884,0.5656565656565656,0.5444561898050271
6,0.46511627906976744,0.6161616161616161,0.5406389476156918
7,0.4418604651162791,0.4444444444444444,0.44315245478036175
8,0.5,0.5858585858585859,0.5429292929292929
9,0.5232558139534884,0.5050505050505051,0.5141531595019968
10,0.43023255813953487,0.5454545454545454,0.48784355179704014
11,0.45348837209302323,0.48484848484848486,0.469168428470754
12,0.5465116279069767,0.494949494949495,0.5207305614282358
13,0.5,0.5757575757575758,0.5378787878787878
14,0.4883720930232558,0.5454545454545454,0.5169133192389006
15,0.5232558139534884,0.47474747474747475,0.49900164435048155
16,0.46511627906976744,0.5555555555555556,0.5103359173126615
17,0.627906976744186,0.40404040404040403,0.515973690392295
18,0.3953488372093023,0.6464646464646465,0.5209067418369744
19,0.46511627906976744,0.48484848484848486,0.4749823819591261
20,0.5116279069767442,0.43434343434343436,0.4729856706600893
21,0.43023255813953487,0.5656565656565656,0.49794456189805025
22,0.5116279069767442,0.5555555555555556,0.5335917312661499
23,0.5232558139534884,0.6262626262626263,0.5747592201080574
24,0.5348837209302325,0.6262626262626263,0.5805731735964295
25,0.43023255813953487,0.5959595959595959,0.5130960770495654
26,0.5813953488372093,0.5151515151515151,0.5482734319943623
27,0.47674418604651164,0.5555555555555556,0.5161498708010336
28,0.5232558139534884,0.5959595959595959,0.5596077049565422
29,0.45348837209302323,0.5353535353535354,0.4944209537232793
