Label,Media_Image,Media_Video,Statistical,p_value,Significant(p<0.05),Best_Model
Positive,0.4895348837209302,0.515891472868217,136.0,0.12689108703756852,No,Videos
Negative,0.536026936026936,0.5258503401360544,207.0,0.6120056137442589,No,Images
Overall,0.5127809098739331,0.5208709065021356,196.0,0.46454504504799843,No,Videos
